id,composition,Eg
696,Cd4B6O13,2.4334
697,Na1Sb3O8,0.2807000000000004
698,Li2V2Co1O6,1.1452
699,Li5Sb1S4,1.3595000000000002
700,Li4Mn1V3O8,0.9377
701,Li2Si1Ni1O4,3.0839000000000003
702,Li2Fe1P4O12,4.348700000000001
703,Cr1O1F1,1.4278
704,Ga2P3H12N3O12,4.130699999999999
705,Na5Ni1H1O4,2.2542
706,Li1Mn2P3O12,0.4898
707,Li4Ti2V5O12,0.28080000000000016
708,Ni1P4O11,4.5278
709,Na2Mn1O3,1.4596
711,Na1V1P1C1O7,1.9214
712,Li3Nb1S4,1.4086000000000003
713,Ga2W1O6,2.4445
714,Li3Ni1B2O6,0.02140000000000009
715,Li4Ti3Nb2Ni3O16,1.8734
716,Li6Mn5Fe1B6O18,2.6097
717,Li4Nb1Fe1Te2O12,1.7694999999999994
718,Li2V3Co1O8,0.7871000000000001
719,Zr2N2O1,1.7706000000000004
